task_id,task,ground_truth_success,ground_truth_failure,rule_label,rule_score,rule_failure_type,llm_label,llm_score,llm_failure_type,llm_reasoning,llm_suggestion,evaluation_mode,label_agreement,failure_type_agreement,score_difference
tool_004,"Calculate the average of 14, 18, 21, and 27.",False,tool_execution_error,fail,2,tool_execution_error,fail,2,tool_execution_error,The trajectory failed with the primary issue 'tool_execution_error'.,Validate tool arguments and retry failed calls.,fallback,True,True,0
retrieval_003,Find the password reset period in the supplied account policy.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
retrieval_004,Find the password reset period in the supplied account policy.,False,retrieval_error,fail,2,retrieval_error,fail,2,retrieval_error,The trajectory failed with the primary issue 'retrieval_error'.,Improve query formulation and retrieval recall.,fallback,True,True,0
code_003,Fix a Python function that should return the maximum value in a list.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
code_004,Fix a Python function that should return the maximum value in a list.,False,hallucination,fail,1,hallucination,fail,1,hallucination,The trajectory failed with the primary issue 'hallucination'.,Require evidence before generating final claims.,fallback,True,True,0
planning_003,Create an ordered migration plan for moving a Python service from SQLite to PostgreSQL.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
planning_004,Create an ordered migration plan for moving a Python service from SQLite to PostgreSQL.,False,planning_error,fail,1,unknown_failure,fail,2,unknown_failure,The trajectory failed with the primary issue 'unknown_failure'.,Add richer logs and failure annotations.,fallback,True,True,1
reasoning_003,Determine whether a customer qualifies for a discount given three eligibility rules.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
reasoning_004,Determine whether a customer qualifies for a discount given three eligibility rules.,False,reasoning_error,fail,2,reasoning_error,fail,2,reasoning_error,The trajectory failed with the primary issue 'reasoning_error'.,Use explicit planning and intermediate checks.,fallback,True,True,0
verification_001,Verify whether a generated sales summary matches the underlying records.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
verification_002,Verify whether a generated sales summary matches the underlying records.,False,verification_failure,fail,2,verification_failure,fail,2,verification_failure,The trajectory failed with the primary issue 'verification_failure'.,Verify outputs before finalizing the task.,fallback,True,True,0
verification_003,Verify whether a model evaluation report contains evidence for a claimed 12% improvement.,False,hallucination,fail,1,hallucination,fail,1,hallucination,The trajectory failed with the primary issue 'hallucination'.,Require evidence before generating final claims.,fallback,True,True,0
verification_004,Verify that a code change fixes the reported bug and does not break existing tests.,False,verification_failure,fail,2,verification_failure,fail,2,verification_failure,The trajectory failed with the primary issue 'verification_failure'.,Verify outputs before finalizing the task.,fallback,True,True,0
recovery_001,Retrieve API authentication documentation after the first search fails.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
recovery_002,Recover from an unsuccessful documentation search.,False,recovery_failure,fail,2,recovery_failure,fail,2,recovery_failure,The trajectory failed with the primary issue 'recovery_failure'.,Add retry and alternative-action policies.,fallback,True,True,0
recovery_003,Complete a calculation after the preferred calculator tool fails.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
recovery_004,Recover after a code test fails due to a missing dependency.,False,recovery_failure,fail,2,recovery_failure,fail,2,recovery_failure,The trajectory failed with the primary issue 'recovery_failure'.,Add retry and alternative-action policies.,fallback,True,True,0
code_005,Fix a repository function that returns duplicate user IDs and verify the fix with the test suite.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
code_006,Fix a parser bug in the repository and verify that the change does not introduce regressions.,False,incomplete_execution,fail,2,incomplete_execution,fail,2,incomplete_execution,The trajectory failed with the primary issue 'incomplete_execution'.,Add task-completion validation.,fallback,True,True,0
retrieval_005,Determine the production request timeout using information distributed across service configuration and deployment documentation.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
retrieval_006,Determine whether premium accounts have a different request limit using the supplied policy documents.,False,context_loss,fail,1,context_loss,fail,1,context_loss,The trajectory failed with the primary issue 'context_loss'.,Preserve relevant state across trajectory steps.,fallback,True,True,0
planning_005,Plan a safe database schema migration where the application depends on the new column.,True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
planning_006,Plan a production rollout for an application that requires a new database column.,False,planning_error,fail,1,unknown_failure,fail,2,unknown_failure,The trajectory failed with the primary issue 'unknown_failure'.,Add richer logs and failure annotations.,fallback,True,True,1
reasoning_005,"Determine whether a customer qualifies for a discount requiring at least 12 months of membership and at least $1,000 in annual spending.",True,success,pass,5,success,pass,5,success,The offline judge found a completed trajectory with a recorded final answer.,Retain explicit evidence and verification signals.,fallback,True,True,0
reasoning_006,Determine whether a candidate is eligible when eligibility requires a score of at least 80 and at least 3 years of experience.,False,reasoning_error,fail,2,reasoning_error,fail,2,reasoning_error,The trajectory failed with the primary issue 'reasoning_error'.,Use explicit planning and intermediate checks.,fallback,True,True,0
